trial_id,scraped_at,extractor_version,has_participant_flow,dropout_rate_pct,started_n,completed_n,recency_decay,missing_enrollment,parse_warning
NCT02284893,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,18.0,461,378,0.44341,False,
NCT00575588,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,63.6,858,312,0.260419,False,
NCT00318461,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,51.5,1091,529,0.22382,False,
NCT00790205,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,5.4,14671,13877,0.390063,False,
NCT00707993,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,41.5,441,258,0.260419,False,
NCT00935532,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,7.7,427,394,0.281906,False,
NCT01880736,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,2.2,458,448,0.35786,False,
NCT02762578,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,4.6,543,518,0.472984,False,
NCT03211858,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,11.7,597,527,0.54177,False,
NCT02545049,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,1.4,7437,7334,0.647651,False,
NCT01986881,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,12.5,8246,7212,0.588565,False,
NCT00917267,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,17.1,691,573,0.275882,False,
NCT01068665,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,12.8,460,401,0.266168,False,
NCT03989232,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,2.9,961,933,0.634714,False,
NCT02964247,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,1.7,303,298,0.510676,False,
NCT01652716,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,27.1,377,275,0.368375,False,
NCT01059799,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,9.4,435,394,0.269027,False,
NCT02152371,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,9.3,300,272,0.407575,False,
NCT01590797,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,7.1,467,434,0.365154,False,
NCT01076088,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,13.4,744,644,0.320613,False,
NCT00286442,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,21.6,527,413,0.197876,False,
NCT00757588,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,18.5,455,371,0.252985,False,
NCT00770653,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,20.0,305,244,0.233646,False,
NCT01084005,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,8.7,241,220,1.0,False,
NCT01159600,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,9.3,1479,1342,1.0,False,
NCT02630706,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,5.1,506,480,0.494922,False,
NCT01648582,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,13.2,774,672,0.379199,False,
NCT01336023,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,27.2,1663,1211,0.318187,False,
NCT01009580,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,13.9,447,385,0.261782,False,
NCT04657003,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,8.4,938,859,0.782538,False,
NCT00972283,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,28.2,1006,722,0.265916,False,
NCT02273050,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,11.7,640,565,0.438178,False,
NCT01853072,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,5.4,615,582,0.393038,False,
NCT00328627,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,20.7,1554,1232,0.211174,False,
NCT03191396,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,1.4,577,569,0.522571,False,
NCT00701090,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,9.6,1035,936,0.242288,False,
NCT00474630,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,45.5,505,275,0.235372,False,
NCT00856284,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,47.3,2639,1392,0.314283,False,
NCT01790438,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,7.2,641,595,0.360417,False,
NCT01558271,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,9.3,492,446,0.360417,False,
NCT02897349,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,5.3,206,195,0.542543,False,
NCT00545584,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,19.0,1132,917,0.245123,False,
NCT01045447,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,13.8,465,401,0.264217,False,
NCT02551874,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,10.3,650,583,0.489431,False,
NCT01422876,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,11.9,1363,1201,0.340296,False,
NCT02791490,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,2.4,458,447,0.49917,False,
NCT03436693,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,18.5,308,251,0.645808,False,
NCT01485614,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,18.5,200,163,0.577631,False,
NCT01406717,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,20.6,360,286,0.410878,False,
NCT01814748,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,7.4,203,188,0.405933,False,
NCT00131664,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,20.7,391,310,0.208188,False,
NCT02226003,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,3.1,291,282,0.421848,False,
NCT00975286,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,9.2,446,405,0.283988,False,
